Company Name,Industries,Email Convention
HFP Capital Markets,"HFP Capital Markets, Investment Banking",
Boston National Capital Partners,"Boston National Capital Partners, Investment Banking",john@bostonnationalcapitalpartners.com
Adams Capital Inc,"Accounting, Adams Capital Inc, Investment Banking, Other",
Alfa Bank,"Accounting, Alfa Bank, Asset Management, Corporate Finance, Equity Research, Investment Banking",jsmith@alfabank.ru
Trinity Equity Partners,"Investment Banking, Trinity Equity Partners",
SAMCO Capital Markets,"Investment Banking, Proprietary Trading, Sales and Trading, SAMCO Capital Markets",
Banco Santander,"Asset Management, Banco Santander, Corporate Finance, Investment Banking, Private Equity, Sales and Trading",
Sunrise Securities,"Investment Banking, Sales and Trading, Sunrise Securities",jsmith@sunrisecorp.com
Northeast Capital and Advisory,"Investment Banking, Northeast Capital and Advisory",jdsmith@ne-capital.com
Schwartz Heslin Group,"Consulting, Investment Banking, Schwartz Heslin Group",jsmith@shggroup.com
MainFirst Bank AG,"Asset Management, Corporate Finance, Equity Research, Investment Banking, MainFirst Bank AG, Sales and Trading",John.Smith@mainfirst.com
Caledonian Global Financial Services,"Caledonian Global Financial Services, Consulting, Corporate Finance, Investment Banking, Private Equity, Sales and Trading, Other",john.smith@caledonian.com
PhiDelphi,"Investment Banking, PhiDelphi",
China Renaissance,"China Renaissance, Investment Banking",
JH Darbie & Company,"Investment Banking, JH Darbie & Company, Sales and Trading",
Sterne Agee,"Asset Management, Investment Banking, Sterne Agee",johnsmith@sterneagee.com
M R Beal and Company,"Investment Banking, M R Beal and Company",
XMS Capital Partners,"Investment Banking, XMS Capital Partners",
Veber Partners,"Investment Banking, Veber Partners",jsmith@veber.com
Barrier Advisors,"Barrier Advisors, Investment Banking",
Dowling Hales,"Dowling Hales, Investment Banking, Private Equity",jsmith@dowlinghales.com
League Park Advisors,"boutique, cleveland, Investment Banking, League Park Advisors, mm",jsmith@leaguepark.com
BellMark Partners,"BellMark Partners, Investment Banking",
Edward Jones,"Asset Management, edward jones, Investment Banking",john.smith@company.com
vFinance,"Investment Banking, Sales and Trading, vFinance",
A Buchholtz and Company,"A Buchholtz and Company, Investment Banking",
Verit Advisors,"Investment Banking, Verit Advisors",john@verit.com
Arma Partners,"Arma Partners, Investment Banking",
Public Financial Management,"Asset Management, Consulting, Investment Banking, Public Financial Management",
BroadOak Capital Partners,"BroadOak Capital Partners, Investment Banking",
Goodrich Capital,"Goodrich Capital, Investment Banking",
Whitehall and Company,"Investment Banking, Whitehall and Company",first.last@whitehallandcompany.com
Johnson Rice and Company,"Equity Research, Investment Banking, Johnson Rice and Company, Sales and Trading",
Centerboard Group,"Asset Management, Centerboard Group, Investment Banking, Private Equity",john.smith@centerboardgroup.com
Navidar Group,"Investment Banking, Navidar Group",jsmith@navidar.com
Jones Lang LaSalle,"Asset Management, Consulting, Corporate Finance, Investment Banking, Jones Lang Lasalle, Real Estate",john.smith@am.jll.com
Chestnut Hill Partners,"Chestnut Hill Partners, Investment Banking, Private Equity",jsmith@chestnuthillpartners.com
Blue Ridge Partners,"Blue Ridge Partners, Consulting, Investment Banking",jsmith@blueridgepartners.com
SPP Capital Partners,"Investment Banking, SPP Capital Partners",jsmith@sppcapital.com
SJ Partners,"Investment Banking, Private Equity, SJ Partners",first@sjpartners.com
Align Capital,"Align Capital, Investment Banking, Private Equity",first@aligncap.com
TAG Energy Partners,"Consulting, Investment Banking, TAG Energy Partners",John@tagenergypartners.com
Kildare Capital,"Corporate Finance, Investment Banking, Kildare Capital, Sales and Trading",jsmith@kildarecapital.com
Capstone Advisory Group,"Capstone Advisory Group, Investment Banking",jsmith@capstoneag.com
TrueNorth Capital Partners,"Investment Banking, TrueNorth Capital Partners",Jsmith@truenorthcp.com
Harvest Management Partners,"Harvest Management Partners, Investment Banking",
Willis Capital Markets,"Investment Banking, Willis Capital Markets",
Nordic Investment Bank,"Investment Banking, Nordic Investment Bank",
Fontainburg,"Fontainburg, Investment Banking",
Ion Partners,"Investment Banking, Ion Partners",first@ion-partners.com
Celtic Capital Corporation,"Celtic Capital Corporation, Investment Banking",jsmith@capital.com
DeWaay Investment Banking,"DeWaay Investment Banking, Investment Banking",jsmith@dewaayfinancial.net
George K. Baum & Company,"George K. Baum & Company, Investment Banking",smithj@gkbaum.com
Exemplar Capital,"Consulting, Corporate Finance, Exemplar Capital, Investment Banking",jsmith@exemplarcapital.com
Ita“ BBA,"Investment Banking, Ita“ BBA",john.doe@itaubba.com;jdoe@itaubba.com
MJL Partners,"Investment Banking, MJL Partners",jsmith@mjlcapital.com
Young  and Partners,"Consulting, Corporate Finance, Investment Banking, Young  and Partners",jsmith@youngandpartners.com
Millstein and Co,"Hedge Funds, Investment Banking, Millstein and Co, Private Equity, Other",jsmith@millsteinandco.com
Lancaster Pollard,"Consulting, Investment Banking, Lancaster Pollard",jsmith@lancasterpollard.com
Janes Capital Partners,"Investment Banking, Janes Capital Partners",jsmith@janescapital.com
ArchPoint Partners,"ArchPoint Partners, Investment Banking",
Chiron Partners,"Chiron Partners, Investment Banking",
CL King and Associates,"CL King and Associates, Equity Research, Investment Banking",
Al Rajhi Capital,"Al Rajhi Capital, Investment Banking",
Silvermine Partners,"Investment Banking, Silvermine Partners",
W Partners,"Investment Banking, W Partners",jsmith@wpartners.com
W. R. Hambrecht,"Investment Banking, W. R. Hambrecht",
TM Capital Management,"Investment Banking, TM Capital Management",
Public Resources Advisory Group,"Investment Banking, Public Resources Advisory Group, Other",
HIC Financial,"Corporate Finance, HIC Financial, Investment Banking, Other",
Halcyon Cabot Partners,"Halcyon Cabot Partners, Investment Banking",
Taishan Capital Corporation,"Investment Banking, Taishan Capital Corporation",
Commerzbank AG,"Asset Management, Commerzbank AG, Corporate Finance, Equity Research, Investment Banking, Real Estate, Sales and Trading",
Berenberg Bank,"Asset Management, Berenberg Bank, Corporate Finance, Investment Banking",
Fox Corporate Finance,"Corporate Finance, Fox Corporate Finance, Investment Banking",
EquityGate Financial Advisors,"Corporate Finance, EquityGate Financial Advisors, Investment Banking",
Swedbank,"Equity Research, Investment Banking, Sales and Trading, Swedbank",
CSG Partners,"CSG Partners, Investment Banking",
Rodeo Acquisition Partners,"Hedge Funds, Investment Banking, Rodeo Acquisition Partners",john.s@rodeoap.com
Northland Securities,"Asset Management, Corporate Finance, Investment Banking, Northland Securities",
Accordion Partners,"Accordion Partners, Consulting, Corporate Finance, Investment Banking, Private Equity",jdoe@accordionpartners.com
USAA,"Accounting, Asset Management, Corporate Finance, Equity Research, Investment Banking, Private Equity, Real Estate, Sales and Trading, USAA",john.smith@usaa.com
The Network Company,"Corporate Finance, Investment Banking, Private Equity, The Network Company",jsmith@the-networkco.com
Mooreland Partners,"Investment Banking, Mooreland Partners",jdoe@moorelandpartners.com
Merchant Capital Advisors,"Investment Banking, Merchant Capital Advisors",jbammel@merchantcapital.com
Royal Blue Capital LLC,"Investment Banking, Royal Blue Capital LLC",
Paragon Capital Group,"Investment Banking, Paragon Capital Group",
Intersection Capital,"Intersection Capital, Investment Banking",john@intersectioncapital.com
Spring Hill Capital Partners,"Corporate Finance, Hedge Funds, Investment Banking, Spring Hill Capital Partners",
IEG  Investment Banking,"IEG  Investment Banking, Investment Banking",
Hypatia Capital Group,"Hypatia Capital Group, Investment Banking, Private Equity",
DC Advisory,"dc advisory, Investment Banking",
@VISORY Partners,"@VISORY Partners, Investment Banking",
Corporate Finance Partners,"Corporate Finance Partners, Investment Banking",
Direct Invest,"Asset Management, Direct Invest, Investment Banking",
Houlihan Capital,"Houlihan Capital, Investment Banking",info@houlihan.com
Patriot Capital Advisors,"Investment Banking, Patriot Capital Advisors, Real Estate",jsmith@company.com
Union Square Advisors,"Investment Banking, Union Square Advisors",
Alegro Capital,"Alegro Capital, Investment Banking",johnd@alegrocapital.com
Moss Adams Capital,"Accounting, Investment Banking, Moss Adams Capital, Real Estate",
The Intersect Group,"Consulting, Investment Banking, The Intersect Group",
7 Mile Advisors,"7 Mile Advisors, Investment Banking",john@7mileadvisors.com
Tanglewood Capital Partners,"Investment Banking, Tanglewood Capital Partners",
MT Bank,"Investment Banking, MT Bank",
Peter Solomon,"Investment Banking, Peter Solomon",name@pjsolomon.com
Mirae Asset,"Asset Management, Insurance, Investment Banking, Mirae Asset, Private Equity",
Carlton House Capital Partners,"Carlton House Capital Partners, Investment Banking",j.smith@carltonhousecapital.com
PNL,"Consulting, Corporate Finance, Investment Banking, pnl",
Meridian Capital Group,"Investment Banking, Meridian Capital Group, Real Estate",jdoe@meridiancapital.com
Woori Financial Group,"Asset Management, Commercial Banking, Insurance, Investment Banking, Private Equity, Sales and Trading, Woori Financial Group",
Admiralty Investment Group,"Admiralty Investment Group, Asset Management, Investment Banking",
Daiwa Securities Group,"Daiwa Securities Group, Equity Research, Investment Banking, Sales and Trading",
Euro Pacific Canada,"Corporate Finance, Equity Research, Euro Pacific Canada, Investment Banking, Private Equity, Proprietary Trading, Sales and Trading",
Butcher Joseph Hayes,"Butcher Joseph Hayes, Investment Banking",
Gardnyr Michael Capital,"Gardnyr Michael Capital, Investment Banking",
Global Hunter Securities,"Global Hunter Securities, Investment Banking",
Partnership Capital Growth,"Investment Banking, Partnership Capital Growth",
Skandinaviska Enskilda Banken SEB,"Commercial Banking, Corporate Finance, Equity Research, Insurance, Investment Banking, Real Estate, Sales and Trading, Skandinaviska Enskilda Banken SEB",john.smith@seb.se
Bridge Street Advisors,"Bridge Street Advisors, Investment Banking",
Bowen Advisors,"Bowen Advisors, Investment Banking",
Standard Chartered Bank,"Investment Banking, Standard Chartered Bank",john.doe@sc.com
MM Dillon and Co,"Investment Banking, MM Dillon and Co",
Sberbank,"Commercial Banking, Corporate Finance, Equity Research, Investment Banking, Sales and Trading, Sberbank",
Brookfield Financial,"Brookfield Financial, Investment Banking",
Bradesco BBI,"Bradesco BBI, Investment Banking",
The Bank Street Group,"Investment Banking, The Bank Street Group",jdoe@bankstreet.com
ING,"Commercial Banking, Corporate Finance, ING, Investment Banking",
Allen & Company llc,"Allen & Company llc, Investment Banking",
Alpha Capital Holdings,"Alpha Capital Holdings, Investment Banking",jsmith@alphacapitalny.com
Cambridge International Partners,"Cambridge International Partners, Investment Banking",
Fearnley Securities,"Corporate Finance, Equity Research, Fearnley Securities, Investment Banking, Sales and Trading, Other",jd.smith@fearnleys.no
CAG,"CAG, Investment Banking",@cag.com.pl
Churchill and Associates,"Asset Management, Churchill and Associates, Investment Banking, Private Equity",
Linch Capital,"Investment Banking, Linch Capital, Venture Capital",john@linchcapital.com 
Flock Advisors,"Flock Advisors, Investment Banking",
Konsortium Capital Partners,"Investment Banking, Konsortium Capital Partners",
MTS Health Partners,"Investment Banking, MTS Health Partners",Doe@mtspartners.com
Origin Merchant Partners,"Investment Banking, Origin Merchant Partners",first.last@originmerchant.com
LionTree Advisors,"Investment Banking, LionTree Advisors",john.smith@liontree.com
Chesterfield Faring Ltd.,"Chesterfield Faring Ltd., Investment Banking",johnsmith@chesterfieldfaringltd.com
Safra Group,"Asset Management, Commercial Banking, Hedge Funds, Investment Banking, Safra Group",
Blitzer Clancy and Company,"Blitzer Clancy and Company, Investment Banking",
CoBe Capital,"CoBe Capital, Consulting, Investment Banking",
Yes Bank,"Commercial Banking, Corporate Finance, Investment Banking, Sales and Trading, Yes Bank",
IMAP MB Partners,"IMAP MB Partners, Investment Banking",
Ondra Partners,"Investment Banking, Ondra Partners",john.doe@ondrapartners.com
IB Partners,"IB Partners, Investment Banking",
Sberbank CIB,"Commercial Banking, Corporate Finance, Equity Research, Investment Banking, Private Equity, Proprietary Trading, Real Estate, Sales and Trading, Sberbank CIB",
Kerburn Rose,"Investment Banking, Kerburn Rose",
Telsey Advisory Group,"Equity Research, Investment Banking, Sales and Trading, Telsey Advisory Group",
Sanabe and Associates,"Investment Banking, Sanabe and Associates",aman@sanabe.com
Siemer & Associates,"Investment Banking, Siemer & Associates",john.smith@siemer.com
Stanwich Advisors,"Investment Banking, Stanwich Advisors",jsmith@stanwichadvisors.com
Marathon Capital LLC,"Investment Banking, Marathon Capital LLC",
Newbury Capital Partners,"Investment Banking, Newbury Capital Partners",info@newburycap.com
DFCC,"Asset Management, Commercial Banking, DFCC, Investment Banking",
"SDR Ventures, Inc.","Investment Banking, SDR Ventures, Inc.",info@sdrventures.com
Mediterranean Securities Group,"Investment Banking, Mediterranean Securities Group",jsmith@msgsecurities.com
Burnham Securities Inc,"Burnham Securities Inc, Investment Banking",jsmith@bsibam.com
Casimir Capital,"Casimir Capital, Investment Banking",jsmith@casimircapital.com
Ruby Capital Advisors,"Consulting, Corporate Finance, Investment Banking, Ruby Capital Advisors",
Integrity Square,"Integrity Square, Investment Banking",
WWB Securities,"Investment Banking, WWB Securities",
Kempen en co Merchant bank,"Investment Banking, Kempen en co Merchant bank",John.Smith@company.nl
Altium Capital,"Altium Capital, Corporate Finance, Investment Banking",john.smith@altium.co.uk
Gruen Advisors,"Gruen Advisors, Investment Banking",john.smith@gruenadvisors.com
Natixis,"Investment Banking, Natixis",john.smith@natixis.com
Gentry Capital Advisors,"Gentry Capital Advisors, Investment Banking",
Gereje Corporate Finance,"Gereje Corporate Finance, Investment Banking",john.smith@gerejecorpfinance.com
Triton Capital Partners,"Investment Banking, Triton Capital Partners",jsmith@tritoncap.com
Standard Bank,"Investment Banking, standard bank",john.doe@standardbank.com
Stone Pier Capital,"Investment Banking, Stone Pier Capital",
Scura Paley,"Investment Banking, Scura Paley",jsmith@scurapaley.com
Commonwealth Bank of Australia,"Asset Management, Commercial Banking, Commonwealth Bank of Australia, Corporate Finance, Insurance, Investment Banking, Sales and Trading",info@cba.com.au
MUFJ Morgan Stanley Securities,"Investment Banking, MUFJ Morgan Stanley Securities",first.last@mumss.com
Shoreline Partners LLC,"Investment Banking, Shoreline Partners LLC",jsmith@shoreline.com
Riverbrook Capital,"Investment Banking, Riverbrook Capital",jsmith@riverbrookcap.com
STRS Ohio,"Asset Management, Equity Research, Hedge Funds, Insurance, Investment Banking, Private Equity, Real Estate, STRS Ohio",
Warson Capital Partners,"Investment Banking, Warson Capital Partners",
Pickering Pacific Pte Ltd,"Corporate Finance, Investment Banking, Pickering Pacific Pte Ltd",jsmith@pickeringpacific.com
Orbixa Capital International,"Investment Banking, Orbixa Capital International",
Bardi Co.,"Bardi Co., Investment Banking",jsmith@bardico.com
Socius Co Ltd,"Investment Banking, Private Equity, Socius Co Ltd",
J Moore Partners,"Investment Banking, J Moore Partners",
Avance International Capital,"Avance International Capital, Investment Banking",jsmith@avancecap.com
Greenstone Partners,"Greenstone Partners, Investment Banking",
Globalview Advisors,"Globalview Advisors, Investment Banking",
Ramirez  and Co,"Investment Banking, Ramirez  and Co",john.joe@ramirezco.com
Matheson Financial Advisors,"Consulting, Corporate Finance, Investment Banking, Matheson Financial Advisors",
Essence Securities,"Essence Securities, Investment Banking",
HFF Securities L.P.,"HFF Securities L.P., Investment Banking, Real Estate",jsmith@hfflp.com
Cushman and Wakefield,"Cushman and Wakefield, Investment Banking, Real Estate",
Vermilion Partners,"Investment Banking, Vermilion Partners",j.smith@vermilion-partners.com
De Bellas and Co LLC,"De Bellas and Co LLC, Investment Banking",jdoe@debellas.com
EJ De La Rosa and Co,"EJ De La Rosa and Co, Investment Banking",
Puji Capital,"Investment Banking, Puji Capital",
AGC Partners,"AGC Partners, Investment Banking",
GLC Advisors,"GLC Advisors, Investment Banking",john.smith@glca.com
Raine Group,"Investment Banking, Private Equity, Raine Group",
ABG Sundal Collier,"ABG Sundal Collier, Investment Banking",
Danske Bank,"Asset Management, Commercial Banking, Corporate Finance, Danske Bank, Equity Research, Investment Banking, Sales and Trading",john.d.smith@danskebank.com
Violy and Company,"Investment Banking, Violy and Company",
Saski Partners,"Investment Banking, Saski Partners",
BDA Partners,"BDA Partners, Corporate Finance, Investment Banking",
Exane BNP Paribas,"Asset Management, Equity Research, Exane BNP Paribas, Investment Banking, Sales and Trading",@exanebnpparibas.com
Alpha Banca de Inversion,"Alpha Banca de Inversion, Investment Banking",
Mitsubishi UFJ Securities,"Investment Banking, Mitsubishi UFJ Securities",
MB Financial Bank,"Commercial Banking, Investment Banking, MB Financial Bank",
Aforge Degroof Finance,"Aforge Degroof Finance, Investment Banking",
KDB Daewoo Securities,"Investment Banking, KDB Daewoo Securities, Proprietary Trading, Sales and Trading",
Bainbridge Capital,"Bainbridge Capital, Investment Banking, Private Equity",
BBVA Compass,"BBVA Compass, Commercial Banking, Investment Banking",
Elara Capital,"Elara Capital, Investment Banking, Venture Capital",
Novahill Partners,"Investment Banking, Novahill Partners",jsmith@novahillpartners.com
Iris Capital Partners,"Investment Banking, Iris Capital Partners, Private Equity",jsmith@iriscappartners.com
Religare Capital Markets,"Investment Banking, Religare Capital Markets",
nomura securities,"Investment Banking, nomura securities",
Mischler Financial Group,"Investment Banking, Mischler Financial Group, Sales and Trading",
Sheshunoff Investment Banking,"Investment Banking, Sheshunoff Investment Banking",jsmith@smslp.com
Prairie Capital Advisors,"Investment Banking, Prairie Capital Advisors",
Javlin Capital LLC,"Investment Banking, Javlin Capital LLC",
overseachinese banking corporation,"Investment Banking, overseachinese banking corporation",
Wellington Shields and Co,"Investment Banking, Wellington Shields and Co",
Nordea,"Asset Management, Commercial Banking, Corporate Finance, Equity Research, Hedge Funds, Investment Banking, Nordea, Proprietary Trading, Sales and Trading",
The Hina Group,"Investment Banking, Private Equity, The Hina Group",
LATUM Investment Banking Services,"Investment Banking, LATUM Investment Banking Services",
Nplusone,"Asset Management, Investment Banking, Nplusone",
London BB,"Investment Banking, London BB",
TAG Financial Institutions Group,"Investment Banking, TAG Financial Institutions Group",
Q1 Capital Partners,"Investment Banking, Q1 Capital Partners",First.Last@q1capital.com
Climate Change Capital,"Asset Management, Climate Change Capital, Hedge Funds, Investment Banking, Private Equity, Venture Capital",
NorthMarq Capital,"Investment Banking, NorthMarq Capital, Real Estate",jsmith@northmarq.com
GS,"gs, Investment Banking",
Brooks Haughton,"Brooks Haughton, Investment Banking",
Woodside Capital Partners,"Investment Banking, Woodside Capital Partners",john.smith@woodsidecap.com
China Securities,"Asset Management, China Securities, Equity Research, Investment Banking, Proprietary Trading",
Cerner,"Cerner, Investment Banking, Venture Capital, Other",
Haywood Securities,"Equity Research, Haywood Securities, Investment Banking, Sales and Trading",
Falvey Partners,"Falvey Partners, Investment Banking",
Valence Group,"Investment Banking, Valence Group",
StoneHouse Search Partners,"Hedge Funds, Investment Banking, Private Equity, Recruiting - Headhunter, StoneHouse Search Partners",
Cannacord Genuity,"Cannacord Genuity, Investment Banking",
Affix Corporate Finance,"Affix Corporate Finance, Investment Banking, Private Equity",
Leonardo & Co,"Investment Banking, Leonardo & Co",
Industry Pro,"Industry Pro, Investment Banking",
TAP Advisors,"Investment Banking, TAP Advisors",
"Fiserv, Inc.","Accounting, Asset Management, Commercial Banking, Consulting, Corporate Finance, Equity Research, Fiserv, Inc., Investment Banking, Proprietary Trading, Q&A, Other",john.doe@fiserv.com
Barons Financial Services,"Barons Financial Services, Corporate Finance, Investment Banking",
Healthios Capital Markets,"Healthios Capital Markets, Investment Banking",
Hinton Rose,"Asset Management, Hedge Funds, Hinton Rose, Investment Banking",
P_yry Capital,"Investment Banking, P_yry Capital",
FIG Partners,"FIG Partners, Investment Banking",
Wilcox Swartzwelder & Co,"Investment Banking, Wilcox Swartzwelder & Co",
CREO Capital Advisors,"CREO Capital Advisors, Investment Banking",
Haitong Securities,"Asset Management, Corporate Finance, Equity Research, Haitong Securities, Investment Banking, Private Equity, Sales and Trading, Venture Capital",
Wellesley College,"Investment Banking, Private Equity, Sales and Trading, Wellesley College",
Clarus Securities Inc,"Clarus Securities Inc, Equity Research, Investment Banking, Sales and Trading",
WFG,"Investment Banking, Sales and Trading, WFG",
Tigress Financial Partners,"Asset Management, Equity Research, Investment Banking, Tigress Financial Partners",
Meriel Partners,"Investment Banking, Meriel Partners",John@merielpartners.com
Cronheim Mortgage,"Cronheim Mortgage, Investment Banking, Real Estate",
Mediobanca,"Investment Banking, Mediobanca",
BBVA,"BBVA, Investment Banking",
Hammond Hanlon Camp,"Hammond Hanlon Camp, Investment Banking, Real Estate",jdoe@h2cllc.com
Pan American Finance,"Investment Banking, Pan American Finance",jsmith@panamfinance.com
CW Downer,"CW Downer, Investment Banking",jsmith@cwdowner.com
National Australia Bank,"Commercial Banking, Investment Banking, National Australia Bank, Sales and Trading",
Aurige Finance,"Aurige Finance, Investment Banking",
Bucephale Finance,"Bucephale Finance, Investment Banking",
OMAC Beverage Advisors,"Investment Banking, OMAC Beverage Advisors",john@omacbeverage.com
ATON,"ATON, Investment Banking",john.smith@aton.ru
Tegris Advisors,"Investment Banking, Tegris Advisors",
Intrepid Investment Bankers,"Intrepid Investment Bankers, Investment Banking",
Incapital,"Incapital, Investment Banking, Sales and Trading",
Vista Point Advisors,"Investment Banking, Vista Point Advisors",jeff@vistapointadvisors.com
Global Mergers,"Global Mergers, Investment Banking",
MLV and Co,"Investment Banking, MLV and Co",jsmith@mlvco.com
Marcum Cronus Partners,"Investment Banking, Marcum Cronus Partners",
Raiffeisen Centrobank,"Asset Management, Corporate Finance, Investment Banking, Raiffeisen Centrobank, Sales and Trading",
Chardan Capital Markets,"Chardan Capital Markets, Equity Research, Investment Banking, Sales and Trading",
Pareto Securities,"Investment Banking, Pareto Securities",
Vaquero Capital,"Investment Banking, Vaquero Capital",
BoerCroon BV,"BoerCroon BV, Investment Banking",
Martin Wolf M&A Advisors,"Investment Banking, Martin Wolf M&A Advisors",
Byron Capital Markets,"Byron Capital Markets, Equity Research, Investment Banking",
Digital Capital Advisors,"Digital Capital Advisors, Investment Banking",
anthemis,"anthemis, Investment Banking",
Clarkson Capital Markets,"Clarkson Capital Markets, Investment Banking",
ISM Capital LLP,"Asset Management, Commercial Banking, Corporate Finance, Equity Research, Investment Banking, ISM Capital LLP, Sales and Trading, Other",
Genghis Capital Investment Bank,"Genghis Capital Investment Bank, Investment Banking",
RCS Advisors,"Consulting, Investment Banking, RCS Advisors",
SixPoint Partners LLC,"Investment Banking, SixPoint Partners LLC",
PT Panin Sekuritas Tbk,"Equity Research, Investment Banking, PT Panin Sekuritas Tbk, Sales and Trading",
Clear Growth Capital,"Clear Growth Capital, Investment Banking",
McCafferty and Company,"Investment Banking, McCafferty and Company",
First Principle Inc,"Corporate Finance, First Principle Inc, Investment Banking",
BCMS Corporate LLC,"BCMS Corporate LLC, Investment Banking",john.smith@bcmscorp.com
Maybank Kim Eng Securities Pte Ltd,"Corporate Finance, Equity Research, Investment Banking, Maybank Kim Eng Securities Pte Ltd, Sales and Trading",
Mortgage Industry Advisory Corporation,"Investment Banking, Mortgage Industry Advisory Corporation, Sales and Trading",
Zerich Capital Management,"Commercial Banking, Investment Banking, Zerich Capital Management",
CoView Capital,"CoView Capital, Investment Banking",
Evli Bank,"Asset Management, Evli Bank, Investment Banking",
Nomura Australia Limited,"Investment Banking, Nomura Australia Limited",
Grupo Financiero Ve Por Mös,"Asset Management, Commercial Banking, Corporate Finance, Equity Research, Grupo Financiero Ve Por Mös, Investment Banking, Private Equity, Sales and Trading",
FirstEnergy Capital Corp,"FirstEnergy Capital Corp, Investment Banking",
Black Legend Capital,"black legend capital, Investment Banking",
Black Legend Capital LLC,"Black Legend Capital LLC, Investment Banking",
Atlas Technology Group,"Atlas Technology Group, Investment Banking",
Livingstone Partners,"Corporate Finance, Investment Banking, Livingstone Partners",
GF Securities,"Asset Management, Equity Research, GF Securities, Investment Banking, Sales and Trading",
Cambio Merchant Capital,"Cambio Merchant Capital, Investment Banking",john@cambiocapital.com
Ashton International,"Ashton International, Asset Management, Corporate Finance, Investment Banking, Real Estate",
Bridgepoint Merchant Banking,"Bridgepoint Merchant Banking, Investment Banking",
Sequeira Partners Inc,"Investment Banking, Sequeira Partners Inc",
SternAegis Ventures,"Investment Banking, Private Equity, SternAegis Ventures, Venture Capital",
Verity Knowledge Solutions Ltd,"Investment Banking, Verity Knowledge Solutions Ltd",
HAITONG Securities Company Limited,"Equity Research, HAITONG Securities Company Limited, Investment Banking, Sales and Trading, Venture Capital",
Quetico Partners,"Investment Banking, Quetico Partners",
Copper Run Capital,"Copper Run Capital, Investment Banking",
National Bank of Canada,"Investment Banking, National Bank of Canada, Sales and Trading",
Brasil Plural,"Asset Management, Brasil Plural, Equity Research, Hedge Funds, Investment Banking",
Pablo Rion y Asociados,"Investment Banking, Pablo Rion y Asociados",
Cabrera Capital Markets LLC,"Cabrera Capital Markets LLC, Corporate Finance, Investment Banking",
Clairfield International,"Clairfield International, Investment Banking",
Independent Investment Bankers,"Independent Investment Bankers, Investment Banking",
Loop Capital,"Investment Banking, Loop Capital",
Ridgecrest Capital Partners,"Investment Banking, Ridgecrest Capital Partners",
Dean Bradley Osborne,"dean Bradley Osborne, Investment Banking",
Schroder Partners,"Investment Banking, Schroder Partners",
RBC Capital Markets,"Investment Banking, RBC Capital Markets",
The Weatherly Group,"Hedge Funds, Investment Banking, Private Equity, Recruiting - Headhunter, The Weatherly Group",jd@twgco.com
UMB Bank,"Asset Management, Commercial Banking, Investment Banking, UMB Bank",
Piedmont Securities LLC,"Investment Banking, Piedmont Securities LLC",
Berenson and Co,"Berenson and Co, Investment Banking",
The Benchmark Company,"Equity Research, Investment Banking, The Benchmark Company",
DZ Bank AG,"Commercial Banking, Corporate Finance, DZ Bank AG, Investment Banking",
University of Surrey,"Asset Management, Hedge Funds, Investment Banking, Private Equity, Sales and Trading, University of Surrey",
Credicorp Capital,"Credicorp Capital, Investment Banking",
Coker Capital Advisors,"Coker Capital Advisors, Investment Banking",jsmith@cokercapital.com
Jubilee Financial Products LLP,"Investment Banking, Jubilee Financial Products LLP",
Zhong De Securities,"Investment Banking, Zhong De Securities",
FinnCap,"Corporate Finance, Equity Research, FinnCap, Investment Banking, Sales and Trading",JSmith@finncap.com
Estöter Assessoria Financeira LTDA,"Estöter Assessoria Financeira LTDA, Investment Banking, Private Equity",jsmith@estater.com.br
Bois Capital,"Bois Capital, Investment Banking",
Hilco Streambank LLC,"Hilco Streambank LLC, Investment Banking",john.smith@hilco.com
Transcapital International Partners LLC,"Corporate Finance, Investment Banking, Private Equity, Transcapital International Partners LLC",
Ardour Capital Investments LLC,"Ardour Capital Investments LLC, Investment Banking",
Bulger Partners,"bulger partners, Investment Banking",
DNA Capital,"DNA Capital, Investment Banking",
Changjiang Securities,"Changjiang Securities, Investment Banking",
Financi_re Cambon,"Financi_re Cambon, Investment Banking",
Somerley Group Limited,"Investment Banking, Somerley Group Limited",
Canaccord Genuity,"Canaccord Genuity, Investment Banking",
Copal Amba,"Consulting, Copal Amba, Investment Banking",
New Century Capital Partners,"Investment Banking, New Century Capital Partners",
Greentree Brokerage Services Inc,"Greentree Brokerage Services Inc, Investment Banking",
EOC Partners LLP,"EOC Partners LLP, Investment Banking",
Takenaka Partners,"Investment Banking, Takenaka Partners",
DelMorgan Co,"DelMorgan Co, Investment Banking",
D.A. Davidson & Co,"Asset Management, D.A. Davidson & Co, Equity Research, Investment Banking",
G2 Capital Advisors,"G2 Capital Advisors, Investment Banking",
Esposito Securities,"Equity Research, Esposito Securities, Investment Banking, Sales and Trading",jsmith@espoglobal.com
Peakstone Group,"Investment Banking, Peakstone Group",
Maroon Capital Group,"Investment Banking, Maroon Capital Group",
"The DAK Group, Ltd","Investment Banking, The DAK Group, Ltd",
Drexel Hamilton,"Corporate Finance, Drexel Hamilton, Equity Research, Investment Banking, Sales and Trading",
Pendo Advisors LLC,"Investment Banking, Pendo Advisors LLC",
Cleary Gull Inc,"Cleary Gull Inc, Investment Banking",
Carriage Hill,"Carriage Hill, Investment Banking",JSmith@Carriagehill.com
